Date,Open,High,Low,Close,Adj Close,Volume
12/09/2018,,6.93,5.35,6.6,6.6,66849000
13/09/2018,6.62,12.69,6.52,11.6,11.6,158346500
14/09/2018,12.66,13.8,9.22,9.9,9.9,172473600
17/09/2018,9.61,9.75,8.5,8.5,8.5,56323900
18/09/2018,8.73,9.1,7.67,7.68,7.68,41827600
19/09/2018,7.88,9.15,7.54,8.5,8.5,48306500
20/09/2018,9.07,9.47,8.42,8.78,8.78,40275000
21/09/2018,9.05,9.07,8.5,8.59,8.59,15118500
24/09/2018,8.32,8.39,7.85,7.87,7.87,16297900
25/09/2018,8.06,8.19,7.5,7.58,7.58,18909300
26/09/2018,7.59,7.76,7.5,7.5,7.5,11088300
27/09/2018,7.55,7.55,7.01,7.01,7.01,16815600
28/09/2018,6.97,7.28,6.68,6.98,6.98,21813600
01/10/2018,7.06,7.08,6.6,6.6,6.6,16429100
02/10/2018,6.6,6.6,5.87,5.93,5.93,19440000
03/10/2018,6.12,6.55,6.12,6.3,6.3,13251200
04/10/2018,6.19,6.25,6,6.25,6.25,11896600
05/10/2018,6.2,6.29,6.03,6.26,6.26,8378300
08/10/2018,6.07,6.18,5.95,6.04,6.04,11508800
09/10/2018,6.19,7.4,6.1,7.39,7.39,38464400
10/10/2018,8.1,8.35,7.39,7.75,7.75,74971100
11/10/2018,7.44,7.55,6.92,7.18,7.18,22730000
12/10/2018,7.46,7.75,7.28,7.46,7.46,14545400
15/10/2018,7.86,8.3,7.7,7.82,7.82,26781700
16/10/2018,8.06,8.2,7.83,8.04,8.04,17490500
17/10/2018,8.12,8.16,7.73,7.77,7.77,11705300
18/10/2018,7.6,7.67,7.26,7.5,7.5,11906000
19/10/2018,7.59,7.75,7.22,7.32,7.32,7336200
22/10/2018,7.68,7.69,7,7.03,7.03,12758500
23/10/2018,6.74,6.89,6.45,6.81,6.81,14901700
24/10/2018,6.85,6.85,6.13,6.17,6.17,14789900
25/10/2018,6.27,6.57,6.25,6.45,6.45,9188700
26/10/2018,6.21,6.51,6.18,6.35,6.35,9459000
29/10/2018,6.53,6.79,6.05,6.19,6.19,16027600
30/10/2018,6.2,6.22,5.62,5.95,5.95,21823900
31/10/2018,6.08,6.25,5.9,5.9,5.9,15213400
01/11/2018,6,6.78,5.96,6.62,6.62,24330900
02/11/2018,6.84,6.84,6.27,6.49,6.49,17988800
05/11/2018,6.52,6.72,6.25,6.68,6.68,13188700
06/11/2018,7.22,7.32,6.4,6.4,6.4,49855800
07/11/2018,6.42,6.88,6.15,6.74,6.74,23761800
08/11/2018,6.49,7.1,6.47,6.69,6.69,20510700
09/11/2018,6.59,6.93,6.52,6.77,6.77,12789800
12/11/2018,6.72,6.93,6.56,6.65,6.65,12709100
13/11/2018,6.69,6.9,6.58,6.78,6.78,15374100
14/11/2018,6.8,7.45,6.8,7.1,7.1,29585100
15/11/2018,7.15,7.49,7.11,7.34,7.34,17904000
16/11/2018,7.4,7.65,7.16,7.19,7.19,14972500
19/11/2018,7.38,8.21,7.28,7.84,7.84,49171800
20/11/2018,7.65,7.91,7.15,7.67,7.67,26923200
21/11/2018,7.9,8.05,7.63,7.71,7.71,13993600
23/11/2018,7.68,7.7,7.41,7.46,7.46,8119700
26/11/2018,7.61,7.63,7.16,7.37,7.37,12164900
27/11/2018,7.3,7.7,7.23,7.48,7.48,9084900
28/11/2018,7.6,8.15,7.6,8.12,8.12,22096900
29/11/2018,8.06,8.12,7.76,7.79,7.79,13207600
30/11/2018,7.8,8,7.68,7.71,7.71,10994700
03/12/2018,8.1,8.13,7.5,7.58,7.58,22425400
04/12/2018,7.6,7.64,7.05,7.08,7.08,19624700
06/12/2018,6.86,7.37,6.72,7.37,7.37,16688100
07/12/2018,7.36,7.38,6.96,6.99,6.99,11576200
10/12/2018,7.03,7.12,6.74,7.03,7.03,9981000
11/12/2018,7.08,7.2,6.92,7.08,7.08,8095700
12/12/2018,7.2,7.55,7.12,7.54,7.54,16007500
13/12/2018,7.55,7.9,7.26,7.75,7.75,14980900
14/12/2018,7.53,7.89,7.4,7.7,7.7,10773600
17/12/2018,7.63,7.64,6.96,7.03,7.03,18132800
18/12/2018,7.03,7.19,6.84,7.07,7.07,10685800
19/12/2018,7.01,7.15,6.8,6.83,6.83,9299700
20/12/2018,6.82,6.92,6.33,6.52,6.52,12080000
21/12/2018,6.53,6.65,6.06,6.07,6.07,13598300
24/12/2018,6,6.12,5.84,5.92,5.92,8835800
26/12/2018,6.11,6.37,5.96,6.36,6.36,9912300
27/12/2018,6.17,6.45,6.03,6.43,6.43,8531900
28/12/2018,6.5,6.56,6.3,6.47,6.47,7996500
31/12/2018,6.56,6.57,6.21,6.37,6.37,8667400
02/01/2019,6.13,6.24,6,6.2,6.2,8823600
03/01/2019,6.1,6.15,6.02,6.05,6.05,7562900
04/01/2019,6.19,6.4,6.13,6.36,6.36,9405600
07/01/2019,6.41,6.59,6.31,6.5,6.5,9709000
08/01/2019,6.57,6.58,6.17,6.4,6.4,9603800
09/01/2019,6.41,6.69,6.35,6.63,6.63,11489900
10/01/2019,6.63,6.73,6.41,6.66,6.66,11221100
11/01/2019,6.5,6.62,6.48,6.59,6.59,6902300
14/01/2019,6.51,7.15,6.37,6.8,6.8,19454100
15/01/2019,6.85,7.07,6.75,6.82,6.82,12633000
16/01/2019,6.8,6.9,6.68,6.71,6.71,6941200
17/01/2019,6.7,6.88,6.53,6.81,6.81,8508900
18/01/2019,6.89,6.91,6.68,6.71,6.71,9240900
22/01/2019,6.63,6.67,6.51,6.57,6.57,6379600
23/01/2019,6.63,6.79,6.47,6.55,6.55,5686000
24/01/2019,6.47,6.75,6.47,6.58,6.58,5920000
25/01/2019,6.65,6.78,6.6,6.65,6.65,6723600
28/01/2019,6.56,6.68,6.48,6.67,6.67,5111000
29/01/2019,6.68,6.97,6.64,6.94,6.94,14200100
30/01/2019,6.94,7.55,6.92,7.46,7.46,28775000
31/01/2019,7.4,7.89,7.4,7.88,7.88,21233900
01/02/2019,7.85,8.11,7.68,7.9,7.9,20788800
